arm,model_seed,split_seed,joint,coverage,selective,pixel_acc,component_acc
L2A_pairedL1C,1,0,28.836714975845407,95.34347826086957,30.245083881820616,68.65479452054795,68.42173913043479
L2A_pairedL1C,1,1,26.647282608695654,94.76630434782606,28.118942478637386,70.2994350282486,70.30489130434783
L2A_pairedL1C,1,2,27.145833333333336,94.4489734299517,28.74126880104854,69.3767029972752,69.41286231884057
L2A_pairedL1C,1,3,27.859963768115943,94.67065217391304,29.428300247616647,68.8072033898305,68.91576086956522
L2A_pairedL1C,1,4,28.02463768115943,95.08538647342995,29.473128017406182,69.22733333333333,69.13695652173912
L2A_pairedL1C,1,5,26.751268115942032,94.56177536231884,28.289727020715315,69.79876373626374,70.03134057971016
L2A_pairedL1C,1,6,28.00289855072463,95.07608695652173,29.453145840478633,68.93384401114207,69.04365942028984
L2A_pairedL1C,1,7,26.19969806763284,94.67657004830919,27.67284245116222,70.43490304709141,70.70072463768116
L2A_pairedL1C,1,8,27.154710144927535,94.64456521739132,28.69125140208024,69.59121621621621,69.63152173913045
L2A_pairedL1C,1,9,27.15344202898551,94.25229468599035,28.809316653190827,69.62700534759358,69.38097826086957
L2A_pairedL1C,2,0,31.59082125603864,93.07560386473428,33.941032820962654,65.11095890410958,64.75603864734299
L2A_pairedL1C,2,1,28.765579710144934,91.33949275362319,31.493036410587994,66.55225988700565,66.5715579710145
L2A_pairedL1C,2,2,28.92717391304348,91.41044685990339,31.645369765424704,65.91961852861036,65.96829710144928
L2A_pairedL1C,2,3,29.86014492753623,92.48188405797102,32.28756121449559,65.21963276836158,65.35996376811595
L2A_pairedL1C,2,4,29.700241545893718,91.34782608695652,32.513353429583795,65.972,65.81763285024155
L2A_pairedL1C,2,5,28.49166666666667,91.92427536231882,30.994714458576894,66.36607142857143,66.65344202898552
L2A_pairedL1C,2,6,29.71974637681159,92.3018115942029,32.198443197921115,66.03064066852367,66.18677536231885
L2A_pairedL1C,2,7,27.921316425120775,90.90905797101449,30.71345919569778,66.7084487534626,66.91298309178744
L2A_pairedL1C,2,8,28.656159420289857,90.59166666666665,31.63222454635989,65.9804054054054,66.00797101449275
L2A_pairedL1C,2,9,29.3832729468599,92.53484299516906,31.75373945184508,66.32085561497327,66.02886473429952
L2A_pairedL1C,3,0,29.305797101449283,91.80048309178743,31.923358259615753,66.03082191780823,65.86014492753623
L2A_pairedL1C,3,1,26.736050724637682,91.41521739130435,29.246827265304827,68.20762711864407,68.18224637681158
L2A_pairedL1C,3,2,27.717693236714975,91.04106280193238,30.445265447984927,67.78882833787466,67.5951690821256
L2A_pairedL1C,3,3,28.335869565217394,91.91159420289856,30.829483277882026,67.1864406779661,67.27789855072463
L2A_pairedL1C,3,4,27.379468599033824,91.52487922705315,29.914782549028413,67.83333333333333,67.86521739130434
L2A_pairedL1C,3,5,27.104891304347834,91.62463768115943,29.582535866246985,68.38598901098901,68.46231884057971
L2A_pairedL1C,3,6,27.75163043478261,92.08152173913045,30.13811013397863,67.92270194986072,68.07789855072464
L2A_pairedL1C,3,7,26.794384057971016,91.02089371980675,29.437619169564776,67.7319944598338,68.16147342995168
L2A_pairedL1C,3,8,27.465579710144926,91.75615942028985,29.933227244547815,67.99662162162163,67.9873188405797
L2A_pairedL1C,3,9,27.110024154589368,91.13532608695654,29.74699857739293,68.61096256684492,68.16268115942027
L2A_pairedL1C,4,0,29.58212560386474,93.60724637681159,31.602388435595337,67.16095890410959,66.86714975845412
L2A_pairedL1C,4,1,27.051449275362323,92.40398550724638,29.275197521908762,69.05649717514125,69.06829710144928
L2A_pairedL1C,4,2,27.358152173913048,91.90863526570048,29.766683070445804,68.32629427792915,68.38605072463768
L2A_pairedL1C,4,3,28.032789855072473,92.40108695652175,30.338160273225977,67.96892655367232,68.07192028985507
L2A_pairedL1C,4,4,27.79891304347826,92.10857487922705,30.180591850355142,68.426,68.30954106280193
L2A_pairedL1C,4,5,26.90289855072464,92.40507246376812,29.114092801856977,69.03228021978022,69.30235507246375
L2A_pairedL1C,4,6,28.213405797101448,93.87626811594203,30.053821230149925,68.40598885793871,68.52336956521738
L2A_pairedL1C,4,7,26.073611111111106,91.37518115942028,28.534675149503723,69.0713296398892,69.25766908212559
L2A_pairedL1C,4,8,27.327536231884057,92.56159420289855,29.523623126003052,68.50202702702703,68.47862318840579
L2A_pairedL1C,4,9,27.20911835748791,92.31334541062802,29.47473979678276,69.09826203208557,68.87294685990338
L2A_pairedL1C,5,0,29.096859903381638,92.65700483091786,31.402763295099064,67.29657534246576,66.94033816425122
L2A_pairedL1C,5,1,27.072101449275355,91.82047101449275,29.483731841238704,68.58898305084746,68.57699275362319
L2A_pairedL1C,5,2,27.011111111111113,91.68333333333332,29.461310064836706,68.21457765667574,68.16684782608696
L2A_pairedL1C,5,3,28.15380434782608,92.02246376811594,30.594490948177427,67.41525423728814,67.52047101449276
L2A_pairedL1C,5,4,27.495772946859898,92.07512077294686,29.86232623540429,68.47800000000001,68.3117149758454
L2A_pairedL1C,5,5,26.8320652173913,92.45000000000002,29.02332635737295,68.74656593406593,68.9375
L2A_pairedL1C,5,6,28.16992753623188,93.10000000000001,30.257709491119094,68.14902506963789,68.21721014492753
L2A_pairedL1C,5,7,26.078743961352657,91.1187198067633,28.620621554668684,68.75761772853186,68.91165458937198
L2A_pairedL1C,5,8,27.23442028985507,92.03586956521738,29.591093579614125,68.28175675675676,68.2768115942029
L2A_pairedL1C,5,9,26.798309178743963,91.37342995169082,29.328338875876987,68.73663101604278,68.38780193236714
L2A_pairedL1C,6,0,30.825966183574877,93.85289855072465,32.84498045301646,65.83287671232877,65.57838164251207
L2A_pairedL1C,6,1,28.652717391304343,93.2998188405797,30.710367659194386,67.53531073446327,67.52608695652174
L2A_pairedL1C,6,2,28.891243961352657,92.76370772946862,31.144986189652553,67.16621253405994,67.08695652173913
L2A_pairedL1C,6,3,29.83840579710144,93.36268115942028,31.959671066163196,66.48870056497175,66.56340579710144
L2A_pairedL1C,6,4,29.256280193236712,93.63985507246377,31.243406101596978,67.27,67.18997584541064
L2A_pairedL1C,6,5,28.16721014492753,93.36829710144929,30.167852493145997,67.88461538461539,68.05579710144927
L2A_pairedL1C,6,6,29.863224637681157,94.53025362318841,31.591182180384695,66.96796657381616,67.0855072463768
L2A_pairedL1C,6,7,28.179589371980672,92.82995169082126,30.35613921876788,67.3718836565097,67.6453502415459
L2A_pairedL1C,6,8,29.493840579710138,93.53152173913043,31.533583578348768,66.91621621621621,66.88659420289854
L2A_pairedL1C,6,9,28.92276570048309,93.31871980676328,30.993530301716493,67.57419786096257,67.29486714975845
