arm,kernel,width,receptive_field,params,state,model_seed,split_seed,joint,coverage
k5,5,32,17,84516,clean,3,4,9.28371794871795,62.96384615384615
k5,5,32,17,84516,clean,3,5,8.541538461538462,62.85346153846153
k5,5,32,17,84516,clean,3,6,7.154230769230768,64.93115384615385
k5,5,32,17,84516,clean,3,7,8.163846153846153,64.88628205128207
k5,5,32,17,84516,clean,3,8,8.744871794871797,68.8419230769231
k5,5,32,17,84516,clean,3,9,10.638461538461543,65.51846153846154
k5,5,32,17,84516,clean,4,0,9.473846153846154,69.51435897435898
k5,5,32,17,84516,clean,4,1,8.677948717948718,70.33858974358974
k5,5,32,17,84516,clean,4,2,7.971025641025642,70.55615384615382
k5,5,32,17,84516,clean,4,3,9.587307692307693,72.39243589743592
k5,5,32,17,84516,clean,4,4,8.978717948717948,69.16192307692309
k5,5,32,17,84516,clean,4,5,8.302179487179489,69.51493589743589
k5,5,32,17,84516,clean,4,6,9.288333333333334,72.39500000000001
k5,5,32,17,84516,clean,4,7,6.103974358974358,65.71743589743589
k5,5,32,17,84516,clean,4,8,9.101410256410256,73.78705128205128
k5,5,32,17,84516,clean,4,9,9.600384615384613,69.17923076923077
k5,5,32,17,84516,L2A_src,0,0,20.852435897435893,83.33641025641026
k5,5,32,17,84516,L2A_src,0,1,20.348461538461528,87.77871794871795
k5,5,32,17,84516,L2A_src,0,2,14.80346153846154,81.79858974358972
k5,5,32,17,84516,L2A_src,0,3,21.05038461538461,86.12551282051282
k5,5,32,17,84516,L2A_src,0,4,21.969743589743597,83.7947435897436
k5,5,32,17,84516,L2A_src,0,5,19.080961538461548,84.44532051282053
k5,5,32,17,84516,L2A_src,0,6,18.899102564102563,87.50320512820514
k5,5,32,17,84516,L2A_src,0,7,17.98935897435898,82.92435897435895
k5,5,32,17,84516,L2A_src,0,8,15.979102564102565,83.1908974358974
k5,5,32,17,84516,L2A_src,0,9,23.614615384615384,87.3491025641026
k5,5,32,17,84516,L2A_src,1,0,18.577564102564107,81.53641025641024
k5,5,32,17,84516,L2A_src,1,1,16.81397435897436,83.86807692307694
k5,5,32,17,84516,L2A_src,1,2,14.012051282051283,81.75705128205128
k5,5,32,17,84516,L2A_src,1,3,19.079871794871796,87.87448717948716
k5,5,32,17,84516,L2A_src,1,4,16.918205128205123,82.17602564102562
k5,5,32,17,84516,L2A_src,1,5,14.01608974358974,77.6830128205128
k5,5,32,17,84516,L2A_src,1,6,15.513717948717945,83.00423076923077
k5,5,32,17,84516,L2A_src,1,7,17.138846153846153,83.88692307692305
k5,5,32,17,84516,L2A_src,1,8,15.367435897435893,82.51269230769229
k5,5,32,17,84516,L2A_src,1,9,21.947051282051284,87.22576923076923
k5,5,32,17,84516,L2A_src,2,0,17.333717948717954,79.30397435897433
k5,5,32,17,84516,L2A_src,2,1,14.209743589743596,79.2451282051282
