state,cls,model_seed,split_seed,support,iou,f1,pa,ua,joint,selective,coverage
clean,cloud shadow,1,9,13894,37.34244946492271,54.37859832907667,45.20656398445372,68.21983273596177,27.82496041456744,50.84166228300895,54.72865985317404
L2A,clear,1,9,76156,60.735584856951455,75.5720457433291,97.620673354693,61.64817486773803,0.1772677136404223,0.1926562299316427,92.01244813278008
L2A,thick cloud,1,9,45331,52.17677539925246,68.57390066567119,54.199113189649474,93.32598951606776,38.70640400608855,44.43937897322898,87.09933599523505
L2A,thin cloud,1,9,14219,0.06275712990725892,0.1254355400696864,0.06329559040720163,6.870229007633588,91.55355510232786,100.0,91.55355510232786
L2A,cloud shadow,1,9,13894,3.25923134890731,6.312716657544244,3.7354253634662444,20.360925853275795,80.63912480207284,99.50266429840143,81.04217647905571
clean,clear,2,0,74045,75.43271976453015,85.99618117507121,92.75845769464514,80.15287664838371,2.4863258829090418,2.871358163328966,86.5905868053211
clean,thick cloud,2,0,44528,68.81637951380694,81.52808360420818,78.57752425440172,84.70887301779445,8.590100610851598,11.2354599929503,76.45526410348545
clean,thin cloud,2,0,14125,31.13398845733895,47.484239324372545,42.3929203539823,53.96539293439078,27.67433628318584,56.750871080139376,48.7646017699115
clean,cloud shadow,2,0,13302,33.00934345017872,49.634623544387345,39.5729965418734,66.5570868630674,35.83671628326567,56.75675675675676,63.14088107051571
L2A,clear,2,0,74045,62.341488190976044,76.80290341756442,99.4584374366939,62.553831256529826,0.3052197987710176,0.3084187398501576,98.96279289621177
L2A,thick cloud,2,0,44528,53.452002542911636,69.66608666832381,56.64750269493353,90.45399125008964,39.150646784045996,42.57558735896058,91.95562342795544
L2A,thin cloud,2,0,14125,0.22471910112359553,0.4484304932735426,0.22654867256637168,21.768707482993197,92.88495575221239,99.99237862967762,92.89203539823009
L2A,cloud shadow,2,0,13302,0.4749183734045711,0.9453471196454948,0.48113065704405356,26.89075630252101,96.53435573597955,99.92996108949417,96.60201473462638
clean,clear,2,1,72566,76.53206928838952,86.70613741389256,90.10969324477028,83.55033668527912,3.4685665463164566,4.155796981804973,83.46332993412892
clean,thick cloud,2,1,43341,72.6796743976766,84.17860949899325,81.99164763157287,86.48543405777703,6.679587457603654,8.674937072995325,76.99868484806535
clean,thin cloud,2,1,11734,31.133076450550064,47.483178604888856,47.5115050281234,47.45488593803201,20.180671552752685,52.42417533761346,38.49497187659792
clean,cloud shadow,2,1,13959,38.68791109095033,55.79132425691974,48.878859517157395,64.98095238095239,25.32416362203596,43.32638803774972,58.44974568378824
L2A,clear,2,1,72566,63.943906830700456,78.00705505540168,99.34542347655928,64.2144549551957,0.2687208885704049,0.2726776949645519,98.54890720171981
L2A,thick cloud,2,1,43341,57.828509011469144,73.28018160174958,61.07611730232344,91.57931153779623,34.36930389238827,37.678959882632675,91.21616944694401
L2A,thin cloud,2,1,11734,0.05901197099983139,0.1179543348218047,0.059655701380603374,5.185185185185185,92.88392704959946,100.0,92.88392704959946
L2A,cloud shadow,2,1,13959,0.7635206786850477,1.5154704272784676,0.7736943907156674,36.734693877551024,94.84203739522889,99.93960896806824,94.89934809083745
clean,clear,2,2,75419,76.32570555988882,86.57354333848379,92.12134873175195,81.65599106775578,2.4065553772921944,2.837577974766662,84.81019371776343
clean,thick cloud,2,2,42136,71.7107332312918,83.52504456980975,81.16812227074236,86.02293877961668,7.202866907157775,9.327842148938132,77.21900512625783
clean,thin cloud,2,2,16262,34.45405505952381,51.25030263203403,45.560201697208214,58.56454035254131,25.12606075513467,51.67573036549893,48.622555651211414
clean,cloud shadow,2,2,12983,36.74233128834356,53.73951276414375,46.12955403219595,64.35632924994627,27.75937764769314,48.35636656379981,57.405838404066856
L2A,clear,2,2,75419,63.564819918757784,77.72431743003204,99.38477041594294,63.81592950491678,0.17369628342990492,0.1769170515625422,98.17950383855528
L2A,thick cloud,2,2,42136,59.04862722133382,74.25229409765493,62.219954433263716,92.05407303370787,32.3571292956142,35.816739347449165,90.34080121511296
L2A,thin cloud,2,2,16262,0.261461753617901,0.5215598277639638,0.26442012052638053,18.94273127753304,93.52478169966794,100.0,93.52478169966794
L2A,cloud shadow,2,2,12983,1.3316470763279273,2.6282945451875777,1.3787260263421397,28.056426332288403,93.12177462836017,99.7771725674672,93.32973888931679
clean,clear,2,3,72756,77.20372379918898,87.13555465310412,92.89680576172412,82.04717336149653,2.1207872890208366,2.508005136290493,84.56072351421189
clean,thick cloud,2,3,39907,71.1435907564685,83.1390652048471,81.23386874483174,85.13577393770682,6.444984589169819,8.697122375139484,74.10479364522516
clean,thin cloud,2,3,13204,33.96825396825397,50.71090047393365,47.8112693123296,53.98494954677613,20.08482278097546,50.678387158417735,39.63192971826719
clean,cloud shadow,2,3,15733,41.73795587573165,58.89453621346886,47.13659187694654,78.46788699608507,25.595881268670944,45.456597810136586,56.30839636432975
L2A,clear,2,3,72756,62.6842164472944,77.06244381439735,99.56017373137611,62.858283363850155,0.19929627797020177,0.20141966133714875,98.9457914123921
L2A,thick cloud,2,3,39907,56.56798819665889,72.259966865776,59.56599092890972,91.82956038012826,35.08156463778285,39.1192578517939,89.67850251835517
