arm,seed,split,joint
n16,9,4,11.666545893719807
n16,9,5,13.225181159420288
n16,9,6,11.832246376811595
n16,9,7,10.461533816425122
n16,9,8,9.634782608695652
n16,9,9,11.342874396135265
n24,0,0,11.954468599033818
n24,0,1,9.173913043478263
n24,0,2,10.631642512077295
n24,0,3,9.912862318840581
n24,0,4,9.596014492753621
n24,0,5,9.791485507246374
n24,0,6,9.82119565217391
n24,0,7,10.785990338164252
n24,0,8,9.56304347826087
n24,0,9,11.370652173913044
n24,1,0,10.068357487922706
n24,1,1,8.21286231884058
n24,1,2,9.327234299516908
n24,1,3,7.766847826086957
n24,1,4,10.514855072463769
n24,1,5,7.485326086956523
n24,1,6,10.322101449275364
n24,1,7,9.053079710144928
n24,1,8,9.231884057971016
n24,1,9,10.337318840579709
n24,2,0,11.22584541062802
n24,2,1,9.142391304347825
n24,2,2,10.257427536231885
n24,2,3,10.771920289855071
n24,2,4,10.105314009661836
n24,2,5,10.755253623188405
n24,2,6,9.877536231884058
n24,2,7,9.733756038647343
n24,2,8,9.392753623188405
n24,2,9,9.61425120772947
n24,3,0,12.367632850241545
n24,3,1,8.234601449275363
n24,3,2,10.847826086956523
n24,3,3,10.079347826086957
n24,3,4,11.343719806763284
n24,3,5,9.877717391304346
n24,3,6,9.765217391304347
n24,3,7,10.984601449275361
n24,3,8,10.16449275362319
n24,3,9,9.584420289855075
n24,4,0,13.249758454106281
n24,4,1,9.709601449275363
n24,4,2,11.81213768115942
n24,4,3,11.776268115942031
n24,4,4,10.942149758454105
n24,4,5,10.739130434782611
n24,4,6,11.107065217391304
n24,4,7,8.834963768115943
n24,4,8,12.007608695652173
n24,4,9,10.847222222222223
n24,5,0,12.988768115942026
n24,5,1,10.718478260869563
n24,5,2,12.502657004830917
n24,5,3,11.282789855072464
n24,5,4,11.938405797101451
n24,5,5,10.13858695652174
n24,5,6,8.876630434782609
n24,5,7,11.61243961352657
n24,5,8,10.626449275362319
n24,5,9,9.221799516908211
n24,6,0,10.8506038647343
n24,6,1,11.121014492753623
n24,6,2,11.34975845410628
n24,6,3,9.157789855072462
n24,6,4,9.419323671497585
n24,6,5,9.430253623188406
n24,6,6,9.945289855072465
n24,6,7,10.003743961352656
n24,6,8,11.705072463768113
n24,6,9,10.754830917874395
n24,7,0,11.816062801932366
n24,7,1,10.460326086956522
n24,7,2,10.390700483091786
n24,7,3,9.192210144927536
n24,7,4,10.424516908212562
n24,7,5,9.22391304347826
n24,7,6,9.958514492753622
n24,7,7,7.67657004830918
n24,7,8,9.093478260869563
n24,7,9,10.384118357487925
n24,8,0,12.18888888888889
n24,8,1,8.922826086956523
n24,8,2,11.364251207729469
n24,8,3,9.917028985507246
n24,8,4,8.720893719806766
n24,8,5,10.032789855072464
n24,8,6,10.124456521739132
n24,8,7,10.064553140096617
n24,8,8,9.74963768115942
n24,8,9,9.204891304347825
n24,9,0,11.131400966183575
n24,9,1,10.770289855072464
n24,9,2,12.323188405797104
n24,9,3,9.744021739130433
n24,9,4,10.644685990338164
n24,9,5,9.732065217391304
n24,9,6,11.421557971014494
n24,9,7,11.344021739130435
n24,9,8,12.87427536231884
n24,9,9,12.17608695652174
n40,0,0,10.991545893719806
n40,0,1,9.317028985507248
n40,0,2,11.391304347826088
n40,0,3,8.763949275362318
n40,0,4,11.000845410628019
n40,0,5,9.628804347826085
n40,0,6,10.980797101449273
n40,0,7,8.679045893719806
n40,0,8,8.194927536231884
n40,0,9,10.489673913043479
n40,1,0,11.24951690821256
n40,1,1,8.335326086956522
n40,1,2,9.584842995169083
n40,1,3,8.872644927536232
n40,1,4,8.644565217391305
n40,1,5,8.046920289855072
n40,1,6,8.618297101449276
n40,1,7,9.410326086956523
n40,1,8,8.956521739130435
n40,1,9,8.98786231884058
n40,2,0,12.240942028985504
n40,2,1,9.118115942028984
n40,2,2,10.060084541062801
