split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_source_units,n_target_units,n_eval_units,n_eval_px
1,6,b2,naive,73.6214,11.0824,76.7847,1.0329,0.640612,13.7827,74.7154,18.4469,1,91,152,33,13,28000
1,6,b2,mondrian,73.6214,11.0824,76.7847,1.41471,0.79003,3.03077,42.5788,7.11802,1,12,152,33,13,28000
1,7,proposed,naive,74.9036,10.234,78.6276,1.20148,0.632282,11.1269,74.5192,14.9316,1,91,152,33,13,28000
1,7,proposed,mondrian,74.9036,10.234,78.6276,1.37707,0.844421,2.06923,38.3827,5.39105,1,12,152,33,13,28000
1,7,b2,naive,73.3536,11.6139,76.371,1.09952,0.635679,13.7538,74.9885,18.3413,1,91,152,33,13,28000
1,7,b2,mondrian,73.3536,11.6139,76.371,1.39158,0.797408,3.23077,42.3808,7.6232,1,12,152,33,13,28000
1,8,proposed,naive,76.3286,9.29064,79.0738,1.20751,0.639285,10.8288,76.5654,14.1433,1,91,152,33,13,28000
1,8,proposed,mondrian,76.3286,9.29064,79.0738,1.51835,0.825316,2.64038,41.0558,6.43121,1,12,152,33,13,28000
1,8,b2,naive,74.2143,10.3358,78.7992,1.09569,0.643102,12.2635,74.1769,16.5327,1,91,152,33,13,28000
1,8,b2,mondrian,74.2143,10.3358,78.7992,1.49305,0.775815,2.89038,41.9192,6.89513,1,12,152,33,13,28000
1,9,proposed,naive,76.4821,9.15084,78.8761,1.22506,0.640639,9.66923,71.9942,13.4306,1,91,152,33,13,28000
1,9,proposed,mondrian,76.4821,9.15084,78.8761,1.43987,0.817561,1.70962,39.1423,4.36769,1,12,152,33,13,28000
1,9,b2,naive,74.1179,11.2544,76.3496,1.12055,0.616854,13.9788,75.9346,18.4091,1,91,152,33,13,28000
1,9,b2,mondrian,74.1179,11.2544,76.3496,1.40377,0.827639,2.38846,37.1846,6.42325,1,12,152,33,13,28000
2,0,proposed,naive,79.79,6.81861,81.63,1.13701,0.655696,8.85513,77.3051,11.4548,1,91,152,33,13,30000
2,0,proposed,mondrian,79.79,6.81861,81.63,1.38332,0.855444,2.01282,42.3462,4.75325,1,12,152,33,13,30000
2,0,b2,naive,80.5133,6.73054,80.1739,1.07495,0.655673,9.22051,76.9628,11.9805,1,91,152,33,13,30000
2,0,b2,mondrian,80.5133,6.73054,80.1739,1.36779,0.826612,1.99615,45.5487,4.38246,1,12,152,33,13,30000
2,1,proposed,naive,80.4767,6.42589,81.3874,1.0974,0.648957,9.92051,80.1679,12.3747,1,91,152,33,13,30000
2,1,proposed,mondrian,80.4767,6.42589,81.3874,1.36591,0.824111,2.80385,51.7936,5.4135,1,12,152,33,13,30000
2,1,b2,naive,79.4667,7.35322,79.6016,1.13641,0.637146,11.2205,79.2038,14.1666,1,91,152,33,13,30000
2,1,b2,mondrian,79.4667,7.35322,79.6016,1.52297,0.890375,1.46923,39.4628,3.72308,1,12,152,33,13,30000
2,2,proposed,naive,80.1167,6.80933,81.4692,1.18816,0.654505,9.20513,77.8846,11.8189,1,91,152,33,13,30000
2,2,proposed,mondrian,80.1167,6.80933,81.4692,1.51003,0.84754,1.74872,39.6218,4.41353,1,12,152,33,13,30000
2,2,b2,naive,79.4567,6.86904,81.4939,1.05049,0.649776,8.72436,74.5846,11.6973,1,91,152,33,13,30000
2,2,b2,mondrian,79.4567,6.86904,81.4939,1.30851,0.868531,1.06282,36,2.95228,1,12,152,33,13,30000
2,3,proposed,naive,79.1533,7.49588,79.7985,1.12928,0.659134,10.859,79.35,13.6849,1,91,152,33,13,30000
2,3,proposed,mondrian,79.1533,7.49588,79.7985,1.42961,0.811774,3.52564,53.4872,6.59156,1,12,152,33,13,30000
2,3,b2,naive,79.4033,7.26173,80.2279,1.08877,0.647446,9.22051,75.2577,12.2519,1,91,152,33,13,30000
2,3,b2,mondrian,79.4033,7.26173,80.2279,1.35777,0.888915,1.09615,34.7397,3.15533,1,12,152,33,13,30000
2,4,proposed,naive,79.0133,7.47007,80.4739,1.13905,0.655644,9.70128,78.1436,12.4147,1,91,152,33,13,30000
2,4,proposed,mondrian,79.0133,7.47007,80.4739,1.53483,0.795474,2.56026,44.6128,5.73884,1,12,152,33,13,30000
2,4,b2,naive,79.8633,6.64462,81.5134,1.07676,0.642158,9.56282,76.6487,12.4762,1,91,152,33,13,30000
2,4,b2,mondrian,79.8633,6.64462,81.5134,1.364,0.861503,1.36538,40.6179,3.36153,1,12,152,33,13,30000
2,5,proposed,naive,80.6033,7.06117,79.2998,1.18319,0.66522,8.83462,76.3179,11.5761,1,91,152,33,13,30000
2,5,proposed,mondrian,80.6033,7.06117,79.2998,1.33896,0.848588,2.35,45.0987,5.21079,1,12,152,33,13,30000
2,5,b2,naive,79.5633,7.12699,80.3636,1.03177,0.641914,9.56923,76.5808,12.4956,1,91,152,33,13,30000
2,5,b2,mondrian,79.5633,7.12699,80.3636,1.34676,0.837346,1.50256,39.4359,3.81014,1,12,152,33,13,30000
2,6,proposed,naive,78.5533,7.69943,80.0419,1.07174,0.658896,10.3064,77.2833,13.3359,1,91,152,33,13,30000
2,6,proposed,mondrian,78.5533,7.69943,80.0419,1.4582,0.866841,1.12692,33.5333,3.36061,1,12,152,33,13,30000
2,6,b2,naive,78.7867,7.66094,79.3222,1.02836,0.646956,10.5679,76.1282,13.8818,1,91,152,33,13,30000
2,6,b2,mondrian,78.7867,7.66094,79.3222,1.37219,0.847328,1.62564,41.4218,3.9246,1,12,152,33,13,30000
2,7,proposed,naive,78.6867,7.79935,79.3974,1.14871,0.663195,10.0282,77.459,12.9465,1,91,152,33,13,30000
